d;c;d;d;*;4-LOM;R;1;P:2 R:3 D:2 F:3;Protocol Droid;Warrior;{Information Broker}. {Thief}. Overrode and reprogrammed its own self-governing software. Convinced Jabba the Hut to upgrade its armor and weaponry. Became a {bounty hunter}.;Total power at same site is +1 for each of your alien/droid pairs present. Once during each battle, if present with Zuckuss, may use 1 Force to search any Used Pile and move 1 character there to the lost pile. May initiate battle and be battled.
d;c;a;d;*;Bossk;R;1;P:4 A:2 D:4 F:3;;Warrior, Pilot;Male Trandoshan {bounty hunter}. Strong but clumsy. Extremely proud and arrogant. Suffered a humiliating defeat at the hands of Chewbacca and his partner Han Solo.;Adds 2 to power of any starship he pilots. On Hound's Tooth draws 1 battle destiny if not able to otherwise. Adds 1 to attrition against opponent in battles at same site. May reduce Chewie's forfeit to zero while present.
d;c;i;d;*;Captain Needa;R;1;P:3 A:3 D:3 F:5;Force-Attuned;Pilot, Warrior;Able {leader} and captain of the Avenger. Was given his command by Admiral Ozzel. Treated with suspicion by Darth Vader and the Emperor, who distrust Ozzel's close advisors.;Adds 2 to power of any starship he pilots. If on Avenger, starship is also immune to attrition <4. You may re-target applicable Utinni Effects to Needa. If in a battle where you choose to forfeit characters, you must forfeit Needa first.
d;c;i;d;***;Comm Chief;C;2;P:1 A:2 D:3 F:3;;Pilot;Chief Hudiss is one of the Imperial fleet's many communication specialists. Coordinates Star Destroyer fleet movement during challenging tactical situations.;Adds 2 to power of any starship he pilots. When piloting a starship or combat vehicle, that starship or vehicle moves for free.
d;c;i;d;*;Commander Brandei;U;2;P:1 A:3 D:3 F:3;Force-Attuned;Pilot;Technical Services Officer of the Fleet Support Branch. Responsible for keeping Executor's 12 TIE squadrons serviced and combat ready. Just received transfer to Judicator.;Adds 2 to power of any starship he pilots. If aboard a Star Destroyer or at any docking bay, once during each of your control phases, may use 1 Force to search your Reserve Deck and take one TIE into hand. Shuffle, cut and replace.
d;c;i;d;*;Commander Gherant;U;2;P:3 A:2 D:3 F:4;;Warrior;Deck officer aboard the Super Star Destroyer Executor. Responsible for preventing unauthorized access to sensitive areas of the Empire's flagship. Hand-picked by Captain Piett.;If aboard Executor (even at an Executor site), once during each of your deploy phases, may use 2 Force to search your Reserve Deck and take any one Executor site into hand. Shuffle, cut and replace.
d;c;i;d;*;Commander Nemet;U;2;P:1 A:2 D:2 F:3;;Pilot;Logistics officer for the Avenger, member of the Line Branch of the Imperial Navy. Relays important scanner information to Captain Needa. Fiercely competitive.;Adds 1 to power and maneuver of any starship he pilots. Opponent may not 'react' to or from same location.
d;c;i;d;*;Corporal Derdram;U;2;P:3 A:1 D:3 F:3;;Warrior;Member of Imperial Intelligence, Internal Security division. Assigned by IntSec to Executor. Responsible for physical safety of Imperial personnel against Rebel saboteurs.;Power +1 when at any Executor site. While at Detention Block Corridor, cancels game text of Detention Block Control Room. May use 1 Force to search your Reserve Deck and take one IT-O or Hypo into hand. Shuffle, cut and replace.
d;c;i;d;*;Corporal Vandolay;U;2;P:2 A:2 D:2 F:3;;Warrior;ISB attache to the Executor. Detention Officer. Political Liaison for COMPNOR. Responsible for all prisoner transfers. Fiercely loyal to the Emperor's New Order.;May use 1 Force to search your Reserve Deck and take one Spice Mines Of Kessel or Detention Block Corridor into hand. Shuffle, cut and replace. While at a mobile site, We Have A Prisoner is a Used Interrupt.
d;c;a;d;*;Dengar;R;1;P:2 A:2 D:4 F:3;;Pilot, Warrior;Corellian {bounty hunter}. Assassin trained by the Empire. Has reflex-enhancing cyber implants. Gravely injured during a swoop race in the crystal swamp of Agrilat. Blames Han Solo.;Adds +2 to the power of any starship he pilots. Power +1 for every opponents character present. May reduce Han's forfeit to zero while present.
d;c;d;d;*;IG-88;R;1;P:4 R:5 D:5 F:3;Assassin Droid;Pilot, Warrior x 2;{Bounty hunter}. Went berserk upon activation. Murdered all designers at Holowan Mechanicals. IG-88's outstanding "dismantle on sight" warrant ignored by Darth Vader.;Adds 2 to power of any starship he pilots. May 'assassinate' any character at same site hit by IG-88 (victim is immediately lost). May use two different weapons. May initiate battle and be battled. Immune to Restraining Bolt and purchase.
d;c;i;d;***;Imperial Helmsman;C;3;P:2 A:1 D:3 F:2;;Pilot;Warrant Officer Bachenkall is typical of the many graduates of the Imperial Training academy on Raithal. The sector naval school trains pilots in capital starship help tactics.;Adds 2 to power of any starship he pilots. On a Star Destroyer, draws one battle destiny if not able to otherwise.
d;c;i;d;*;Lieutenant Commander Ardan;U;3;P:2 A:3 D:3 F:3;Force-Attuned;Warrior;Commander of Executor bridge pit crews. Native of Brentaal. Participated in the subjugation of Ithor, Kashyyyk, Firro, Sinton and other planets populated by non-humans.;If at a site, draws one battle destiny if not able to otherwise. Immune to attrition < X, where X = the number of opponent's aliens present.
d;c;i;d;*;Lieutenant Suba;R;2;P:3 A:2 D:3 F:4;;Warrior;Chief of security and political officer on Executor. Responsible for ensuring the loyalty of his fellow officers. Disapproved of Vader's unwillingness to simply kill Skywalker.;While at a Death Star or Executor site, your troopers deploy free there and are power and forfeit +1 there, and you may use 1 Force to search your Reserve Deck and take one Tactical Support into hand. Shuffle, cut and replace.
d;c;i;d;*;Lieutenant Venka;U;2;P:2 A:2 D:2 F:3;;Warrior;Worked hard for a transfer to the Executor. One of the many non-commissioned personnel promoted to replace the vast number of officers lost during the Death Star disaster.;Power +2 when at an Executor site or same site as Tarkin or Chief Bast, or if the Death Star has been "blown away." Fear Will Keep Them In Line is destiny +2 and, when it adds 1 to your power, also adds 1 to attrition against opponent.
d;c;i;d;*;Warrant Officer M'Kae;U;3;P:2 A:2 D:2 F:3;;Pilot;Hard-working Avenger signal officer. Coordinates and tests tractor beam operations. Apprises Executor of his ship's activities and relays orders from the flagship to his captain.;Adds 2 to power of any starship he pilots. May use 1 Force to search your Reserve Deck and take any one tractor beam, Our First Catch Of The Day or Besieged into hand. Shuffle, cut and replace.
d;c;a;d;*;Zuckuss;R;1;P:2 A:4 D:4 F:3;Force-Sensitive;Warrior, Pilot;Male Gand. Practitioner of ancient religious findsman vocation. {Bounty hunter} and {scout}. Gains surprisingly accurate information through mystical visions during meditation.;Adds 2 to power of any starship he pilots. May move for free as 'react.' Once during each battle, may use 1 Force to cause one alien of ability < 3 at same site to be forfeit = 0 for remainder of turn. Immune to attrition <3.
d;e;e;d;*;3,720 To 1;C;3;What are the odds of having a Corellian, a Wookiee and a protocol droid together with an Alderaanian princess who happens to be the daughter of the Dark Lord of the Sith?;Insert in opponent's Reserve Deck. When Effect reaches top it is lost and up to the three lowest destiny numbers of each player's characters on table are totaled. Player with lower total loses Force equal to the difference. (Immune to Alter.)
d;e;e;d;;Awwww, Cannot Get Your Ship Out;C;4;"Listen, friend, we didn't mean to land in that puddle, and if we could get our ship out, we would, but we can't so why don't you just...";Deploy on a landed starship (not at a docking bay). Starship may not move. OR Deploy on a starship or vehicle on Dagobah. Starship or vehicle may not move. At the start of you next control phase, starship or vehicle 'sinks' to the Used Pile.
d;e;e;d;*;Bad Feeling Have I;R;3;"Ready are you? What know you of ready?";Deploy on opponent's side of table. Luke, Leia, Han, Chewie, Lando, Yoda, and Obi-Wan are deploy +2. Also, opponent may not play any cards with the words "bad feeling" in the title.
d;e;m;d;<>;Bombing Run;R;6;Bombers can sometimes slip past orbital defenses. Making a low-altitude bombing run allows "surgical strikes," even in cramped situations such as canyons and city streets.;Deploy on a non-interior planet site (except Dagobah). May move to an adjacent non-interior site at start of your move phase. Your bombers at a related system you control may move to this site. Bombers must return to system at end of your battle phase (if possible).
d;e;e;d;*;Broken Concentration;R;3;To effectively use the Force, a Jedi is required to learn concentration. A Jedi who gives in to distraction places both himself and his friends in peril.;Deploy on your side of table. Apprentices subtract X from training destiny, where X = ability - Jedi Test number (minimum zero). Also, once per turn, you may use 2 force to move the top card of opponent's Force pile to the top of opponent's Reserve Deck.
d;e;e;d;<>;Corrosive Damage;R;5;The interior or a space slug's maw is mildly acidic. Long-term exposure to this corrosive environment can cause considerable damage.;Deploy on space slug belly. At the end of each player's turn, for every character and starship that player has present, that player must lose 1 Force. Effect canceled if space slug lost.
d;e;u;d;*;Failure At The Cave;R;4;"That place is strong with the dark side of the Force. A domain of evil it is. In you must go.";Deploy on Dagobah: Cave. Target an apprentice. All Jedi Test game text is suspended. If target present during any battle phase, opponent draws destiny. If destiny<4, you retrieve 2 Force (also, if destiny=0, target is lost). Otherwise, Utinni Effect canceled.
d;e;e;d;;Field Promotion;R;4;Imperial officers are fiercely competitive, especially on the Executor. Lord Vader's flagship is a place where devious political calculation prospers. The naive are doomed to failure.;Deploy on an Imperial of ability < 5 present with Vader, Emperor Palpatine or one of your admirals, generals, or moffs. Imperial gains {leader} skill, is power +1, and is immune to Demotion, Report to Lord Vader, and What is Thy Bidding, My Master?. (Immune to Alter).
d;e;e;d;*;Flagship;R;3;After the Battle of Yavin, it was politically necessary to demonstrate the unstoppable might of the Empire. The Executor and Death Squadron ensured this objective.;Use 2 Force to deploy on one of your Star Destroyers. Your other starships may move as a 'react' to same system (for free). If starship lost, you lose X Force, where X=starship's armor. (Immune to your Alter)
d;e;e;d;;He Is Not Ready;C;4;"All his live has he looked away. To the future, to the horizon. Never his mind on where he was! Hmm? What he was doing! Hm.";Deploy on any character. Subtracts 2 from that character's training destiny draws. OR Deploy on an opponent's pilot at a site. During each of opponent's move phases, opponent must choose to move that character, lose that character or lose 1 Force.
d;e;e;d;*;I Want That Ship;R;4;Like nerf herders herding nerfs, Imperial commanders often use TIE fighters to drive fleeing Rebel ships into tractor beam range.;Deploy on one opponent's unique (*) starship at a location you do not occupy. When starship is targeted by any tractor beam or ion cannon, subtract 2 from maneuver. If starship is captured or lost, lose Effect and opponent must lose 3 Force (5 if Falcon).
d;e;e;d;*;Knowledge And Defense;C;4;"A Jedi uses the Force for knowledge and defense, never for attack.";Insert in opponent's Reserve Deck. When Effect reaches top it is lost, but opponent may not initiate any battles for remainder of turn. (Immune to Alter.)
d;e;e;d;*;Location, Location, Location;R;2;"Mudhole? Slimy? My home this is!";Deploy on table. During each player's deploy phase, that player must choose to either deploy a location or lose 1 Force. Effect canceled if any player deploys three or more locations in a single turn.
d;e;i;d;;Lost In Space;R;4;Congratulations on purchasing the TIE/ln starfighter by Sienar. Equipped with a jettison device and distress beacon, it should provide you with years of worry-free subjugation.;Deploy on one pilot aboard a starfighter just lost at a system. Pilot drifts' without presence at that system (until captured or rescued by a capital starship) and does not participate in battles or attacks, but may be targeted by starship weapons (maneuver=0).
d;e;e;d;*;Much Anger In Him;R;3;"Adventure, heh. Excitement, heh. A Jedi craves not these things. You are reckless.";Deploy on a Rebel. At the end of each opponent's battle phases, if you have presence at the location where that Rebel has presences and a battle did not take place there, opponent loses 4 Force.
d;e;e;d;*;Precision Targeting;U;3;"Sir, we just lost the main rear deflector shield. One more direct hit on the back quarter and we're done for!";Use 3 Force to deploy on table. Any card which is 'hit' may not be used to satisfy attrition. (Immune to Alter.)
d;e;m;d;<>;Rogue Asteroid;C;4;"We're gonna get pulverized if we stay out here much longer.";Deploy on an asteroid sector and specify starting direction. Every move phase, moves to next adjacent asteroid sector (reversing direction as necessary). Where present, adds 2 to asteroid destiny. May be targeted by starship weapons (armor = 3).
d;e;e;d;*;Shot In The Dark;U;4;To test his theory that he was not in a cave, Han blasted the floor. He was right.;Deploy on your side of table. At any time, you may lose 1 Force to draw the top card of your Reserve Deck into your hand. If that card is a space creature, you may immediately deploy it for free.
d;e;e;d;;Sudden Impact;U;3;An asteroid looming in one's path can force a quick decision. One must choose, but choose wisely. This pilot chose poorly.;Deploy on any Effect or Utinni Effect (except those immune to Alter). During each of owner's draw phases, if you occupy an asteroid sector, owner must choose to either lose 1 Force or voluntarily cancel that Effect or Utinni Effect. (Immune to Alter.)
d;e;e;d;;The Dark Path;R;5;"If once you start down the dark path, forever will it dominate your destiny. Consume you it will, as it did Obi- Wan's apprentice.";Deploy on your side of table. Once per turn, you may peek at the top three cards of your Reserve Deck. Place any two of those three in your Lost pile.
d;e;e;d;*;There Is No Try;C;4;"Always with you what cannot be done.";Deploy on table. Sense and Alter are now Lost Interrupts. Also, when any player makes a destiny draw for Sense or Alter, and that destiny draw is successful, that player loses 2 Force. (Immune to Alter.)
