d;O;O;s;;Carbon Chamber Testing/My Favorite Decoration;R;0/7;[Deploy Carbonite Chamber, Carbonite Chamber Console and Security Tower with a Rebel (opponent's choice) from opponent's Reserve Deck (if possible) imprisoned there.] {While} this side up, once during each of your deploy phases, you may deploy from Reserve Deck one Audience Chamber, Docking Bay 94 or East Platform| reshuffle. You may not play Dark Deal.  {Flip} this card if you move a frozen captive to Audience Chamber (or if no Rebel was in opponent's Reserve Deck at start of game).;{While} this side up, your aliens and      starships are immune to attrition < 4 and, once during each of your control phases, you may retrieve 1 Force. While you have a frozen captive at Audience Chamber, Scum And Villainy is immune to Alter and during your deploy phase, you may deploy Scum And Villainy from Reserve Deck| reshuffle.  {Place} out of play if there are no frozen captives on table (unless no Rebel was in opponent's Reserve Deck at start of game).
d;O;O;s;;Hunt Down And Destroy The Jedi/Their Fire Has Gone Out Of The Universe;R;0/7;[Deploy Holotheatre and Visage Of The Emperor. May deploy Meditation Chamber and/or Epic Duel.] {While} this side up, during your move phase, may use 4 Force to take Vader into hand from a location you control (cards on him go to owner's Used Pile). Add 4 to each player's destiny draw for Sense and Alter.  {Flip} this card if Vader is at a battleground site and no Light Jedi or Luke is at a battleground site.  {Place} out of play if you play Scanning Crew, initiate a non-Epic duel or Force drain at an Executor site.;{While} this side up, opponent cannot initiate battles or Force drains where opponent has a Jedi or Skywalker. You lose no Force from Visage Of The Emperor. While Vader at Meditation Chamber, subtract 2 from each of opponent's battle destiny draws. Opponent may not play Sense or Alter.  {Flip} this card if opponent has Luke or a Jedi at a battleground site or if Vader is not on table.  {Place} out of play if you play Scanning Crew, initiate a non-Epic duel or Force drain at an Executor site.
d;O;O;s;;ISB Operations/Empire's Sinister Agents;R;0/7;[Deploy any Coruscant location.] {For} remainder of game, your characters with 'ISB,' 'Rebel' or 'Rebellion' in lore are ISB agents and spies, and may deploy regardless of deployment restrictions listed in their game text.  {Flip} this card if ISB agents control at least two Rebel Base locations or if four ISB agents are on table.;{While} this side up, once during each of your draw phases, you may retrieve one ISB agent. When you have a non-Undercover ISB agent at a battleground site, your Force drains are +1 there and opponent's Force drains are -1 at same and related locations.  {Flip} this card if no ISB agents are on table.
d;O;O;s;;Imperial Occupation/Imperial Control;R;0/7;[Deploy any planet system and one <> site to that system. This system is the Renegade planet.]  {While} this side up, once during each of your deploy phases, you may deploy one <> site to the Renegade planet from Reserve Deck| reshuffle.  {Flip} this card if your matching operatives control at least three battleground sites related to the Renegade planet.;{While} this side up, opponent's Force drains are -1. You may retrieve 1 Force whenever you deploy a matching operative to the Renegade planet. Your matching operatives on that planet are each forfeit +2 and, when at same site as a Rebel, are each power +2. When you have at least one matching operative in a battle on the Renegade planet, you may add one battle destiny.  {Flip} this card if you do not occupy at least two battleground sites related to the Renegade planet.
d;O;O;s;;Ralltiir Operations/In The Hands Of The Empire;R;0/7;[Deploy Ralltiir system.] {While} this side up, once during each of your deploy phases, may deploy from Reserve Deck to Ralltiir one site or non-unique Imperial| reshuffle. At Ralltiir locations, each Rebel is deploy +2.  {Flip} this card if Imperials control at least three Ralltiir sites and opponent controls no Ralltiir locations.  {Place} out of play if Ralltiir is "blown away.";{While} this side up, opponent's Force drains are -1. At Ralltiir locations, each Rebel is deploy +2. At all locations, add X to your total battle destiny, where X = number of Ralltiir locations your Imperials occupy. Once during each of your control phases, you may use 2 Force to take any one card into hand from Reserve Deck| reshuffle.  {Flip} this card if opponent controls at least two Ralltiir locations.  {Place} out of play if Ralltiir is "blown away."
d;c;d;s;;2X-7KPR (Tooex);C;3;P:0 D:2 F:2;Security Patrol Droid;;Basic security droid. Monitors perimeter sensors and floodlights at Imperial outposts. Responsible for maintenance of security devices. Stolen from Jabba.;Where present under "nighttime conditions," each of your Imperials and aliens at same planet site is power +2 and immune to attrition <3.
d;c;a;s;*;Ak-rev;U;2;P:4 A:1 D:3 F:1;;Warrior;Weequay {musician} from Sriluur. Studied in a monastery devoted to the Weequay god of thunder. Jabba's drum master. Trained in several forms of hand-to-hand combat.;Subtracts 1 from attrition against you at same site. Once during each of your control phases, may use 1 Force to take one musician into hand from Reserve Deck- reshuffle.
d;c;a;s;;Anoat Operative;C;3;P:1 A:1 D:1 F:2;;Warrior;Independent mercenaries operating out of Anoat work with some of the locals, such as Ugnaughts. These operatives inform the Empire of all suspected Alliance activities.;While at an Anoat site: adds 1 to your Force drains there, is power +1 (or +2 if your Ugnaught is on Anoat) and, once during each of your deploy phases, may deploy one site to Anoat from Reserve Deck- reshuffle.
d;c;a;s;*;Barquin D'an;U;2;P:2 A:1 D:2 F:2;;;Bith {musician} and {gambler}. Estranged older brother of Figrin D'an. Plays kloo horn, but not as well as his brother. Briefly jammed with Max Rebo's band.;Once during each of your control phases, may use 1 Force to make a 'wager'. Both players draw two destiny (add 1 to your total destiny for each of your gamblers at same site). Player with highest total may retrieve 1 Force.
d;c;a;sn;*;Boba Fett;R;1;P:3 A:2 R:5 D:5 F:4;;Pilot, Warrior;Infamous {bounty hunter}. Hired to help Jabba intimidate debtors and smugglers. Crack shot. Mandalorian armor and jet pack provide protection and flight capability.;Adds 2 to power and 1 to maneuver of any starship he pilots. May deploy -1 as a 'react' to same site as a gangster or smuggler. When firing weapons, any 'hit' characters are forfeit = 0. May 'fly' (landspeed=3). Immune to attrition < 3.
d;c;a;s;*;Boelo;R;1;P:3 A:3 D:4 F:3;;Warrior;Naroon Cuthus' predecessor as Jabba's right hand man. Sees what he wants to see. Hears what he wants to hear. Has a pet womp rat named Worra.;Deploys only on Tatooine or to same location as Jabba. When in a battle either at Audience Chamber or with your alien leader, may cancel one opponent's battle destiny just drawn.
d;c;a;s;*;Brangus Glee;R;3;P:1 A:4 D:3 F:3;;Pilot, Warrior;Elder of a dextrous race of renowned travelers. {Gambler}. Frequents casinos, bars and spaceports. Originally from distant planet Dor Nameth.;Power +2 at Cantina. Adds 2 to power of anything he pilots. Once per turn, may exchange a docking bay from hand with top card of Lost Pile. Your docking bay transit is free when moving to or from same site. Immune to attrition < 3.
d;c;a;s;*;Chyler;U;2;P:2 A:2 D:2 F:3;;Warrior;Placed several ISB agents and Aqualish in the Cloud City miner's guild. Promised a position when the Empire took over Cloud City. She's still waiting.;While on Cloud City, adds 4 to destiny of each of your miners drawn for battle destiny and adds 1 to your Force drains at related cloud sectors where you have a minor or refinery (adds 2 if both).
d;c;i;s;*;Corporal Grenwick;R;3;P:1 A:2 D:2 F:1;;Warrior;Death Star trooper who witnessed Leia's interrogation. Senior tactical advisor to Sergeant Major Enfield. Coordinates security duty assignments for Detention Block AA-23.;While Grenwick is on Death Star, your Death Star Sentry is not unique (*), is doubled, deploys free, applies all three of its modifiers and is immune to Alter. Power -1 when not on Death Star.
d;c;i;s;*;Corporal Prescott;U;3;P:4 A:1 D:2 F:3;;Warrior;Death Star trooper and detention block guard. Volunteered for prison detail. Takes sadistic pleasure in seeing Imperial justice enforced.;When at a prison, instead of Force draining there, may use X Force to retrieve X Force, where X = number of imprisoned Rebels there. Power -2 when not on Death Star.
